Giorno	Mese	Anno	Stazione	Temp_max	Temp_min	Temp_med	Hum_max	Hum_min	Hum_med	Rain_mm	Wind_int	Wind_dir
27	10	2020	Campobasso	14.9	9.3	12.1	62.5	83.5	73.0	5.7	35.1	NA
28	10	2020	Campobasso	14.9	8.2	11.5	64.5	83.3	73.9	0.1	27.8	NA
29	10	2020	Campobasso	16.3	6.9	11.6	57.0	83.8	70.4	0.2	18.0	NA
30	10	2020	Campobasso	18.7	8.8	13.7	53.3	83.8	68.5	0.1	13.6	NA
31	10	2020	Campobasso	22.1	10.2	16.2	41.8	81.5	61.6	0.1	15.6	NA
23	11	2020	Campobasso	14.2	5.2	9.7	68.0	85.0	76.5	0.0	15.5	NA
24	11	2020	Campobasso	10.2	6.8	8.5	68.0	84.0	76.0	0.0	23.8	NA
25	11	2020	Campobasso	9.5	5.2	7.35	80.0	85.0	82.5	0.0	10.1	NA
26	11	2020	Campobasso	13.3	5.2	9.25	70.0	97.0	83.5	0.2	8.0	NA
27	11	2020	Campobasso	13.8	5.2	9.5	46.0	87.0	66.5	0.0	11.9	NA
28	11	2020	Campobasso	9.3	6.1	7.7	77.0	87.0	82.0	0.2	15.5	NA
29	11	2020	Campobasso	9.8	8.0	8.9	83.0	86.0	84.5	13.0	23.8	NA
30	11	2020	Campobasso	8.9	3.7	6.3	72.0	85.0	78.5	0.4	27.4	NA
1	12	2020	Campobasso	8.8	1.1	5.35	77.0	97.0	87.0	0.2	8.0	NA
2	12	2020	Campobasso	11.7	5.9	8.8	64.0	86.0	75.0	11.6	39.2	NA
3	12	2020	Campobasso	9.7	6.5	8.1	76.0	86.0	81.0	6.2	46.1	NA
4	12	2020	Campobasso	10.5	1.9	6.2	62.0	87.0	74.5	0.2	30.6	NA
5	12	2020	Campobasso	15.4	9.3	12.35	41.0	76.0	58.5	0.0	34.2	NA
6	12	2020	Campobasso	12.1	4.7	8.4	73.0	88.0	80.5	32.8	48.3	NA
7	12	2020	Campobasso	10.0	3.3	6.7	62.0	93.0	77.5	0.0	20.9	NA
8	12	2020	Campobasso	9.6	5.9	7.8	76.0	94.0	85.0	14.0	41.8	NA
9	12	2020	Campobasso	8.3	5.1	6.7	73.0	94.0	83.5	6.6	29.0	NA
10	12	2020	Campobasso	9.3	2.5	5.9	65.0	93.0	79.0	0.0	16.1	NA
11	12	2020	Campobasso	6.0	3.1	4.6	86.0	95.0	90.5	0.0	12.9	NA
12	12	2020	Campobasso	10.0	3.3	6.7	65.0	95.0	80.0	0.0	17.7	NA
13	12	2020	Campobasso	6.9	3.6	5.3	75.0	95.0	85.0	3.6	30.6	NA
14	12	2020	Campobasso	9.4	2.5	6.0	53.0	93.0	73.0	0.0	35.4	NA
15	12	2020	Campobasso	10.8	2.9	6.9	41.0	89.0	65.0	0.0	9.7	NA
16	12	2020	 Campobasso e Pescolanciano	16.25	7.2	11.0	NA	NA	55.0	0.0	2.55	W
16	12	2020	Campobasso	14.5	2.9	8.7	34.0	90.0	62.0	0.0	4.8	NA
17	12	2020	 Campobasso e Pescolanciano	17.5	5.8	10.85	NA	NA	53.0	0.0	2.3	SE
17	12	2020	Campobasso	11.6	3.3	7.5	51.0	93.0	72.0	0.0	6.4	NA
18	12	2020	 Campobasso e Pescolanciano	13.3	4.9	9.05	NA	NA	47.0	0.0	1.35	SSE
18	12	2020	Campobasso	12.6	3.7	8.2	64.0	97.0	80.5	0.2	3.2	NA
19	12	2020	 Campobasso e Pescolanciano	8.0	3.4	5.75	NA	NA	46.0	27.2	3.3	S
19	12	2020	Campobasso	10.4	4.9	7.7	73.0	95.0	84.0	0.2	8.0	NA
20	12	2020	 Campobasso e Pescolanciano	11.5	2.3	7.95	NA	NA	58.0	1.0	7.2	S
20	12	2020	Campobasso	11.3	4.7	8.0	74.0	97.0	85.5	0.2	9.7	NA
21	12	2020	 Campobasso e Pescolanciano	12.9	10.2	11.5	NA	NA	50.0	33.8	15.85	S
22	12	2020	 Campobasso e Pescolanciano	12.85	5.7	9.6	NA	NA	61.5	13.7	16.0	S
23	12	2020	 Campobasso e Pescolanciano	12.15	1.6	6.2	NA	NA	50.0	0.2	7.15	W
24	12	2020	 Campobasso e Pescolanciano	12.85	0.25	5.1	NA	NA	34.0	0.1	5.05	SSW
25	12	2020	 Campobasso e Pescolanciano	14.05	0.65	5.5	NA	NA	37.5	0.0	2.65	SSW
26	12	2020	 Campobasso e Pescolanciano	9.45	-1.2	2.65	NA	NA	41.0	0.2	4.1	N
27	12	2020	 Campobasso e Pescolanciano	10.3	-1.6	2.7	NA	NA	39.5	0.1	1.3	SE
28	12	2020	 Campobasso e Pescolanciano	2.4	-3.0	0.05	NA	NA	40.0	1.2	10.4	E
29	12	2020	 Campobasso e Pescolanciano	2.15	-1.25	-0.05	NA	NA	76.5	0.0	11.55	NNW
30	12	2020	 Campobasso e Pescolanciano	2.8	-2.4	0.25	NA	NA	79.0	0.5	10.3	NNW
31	12	2020	 Campobasso e Pescolanciano	7.5	-4.8	0.4	NA	NA	52.5	3.7	4.05	SSW
1	1	2021	Larino	13.3	1.1	6.7	NA	NA	69.5	0.0	5.2	SE
2	1	2021	Larino	13.4	3.3	8.8	NA	NA	80.0	4.6	11.5	SE
3	1	2021	Larino	11.4	0.4	8.5	NA	NA	67.0	0.0	14.9	SSE
4	1	2021	Larino	12.7	1.5	6.6	NA	NA	72.0	0.0	5.1	SE
5	1	2021	Larino	8.8	1.7	5.9	NA	NA	59.0	28.2	8.6	S
6	1	2021	Larino	11.4	5.9	8.3	NA	NA	56.0	0.0	9.2	S
7	1	2021	Larino	7.2	1.8	4.2	NA	NA	76.0	7.9	3.1	SSW
8	1	2021	Larino	6.1	2.8	4.5	NA	NA	83.0	2.3	1.2	SE
9	1	2021	Larino	5.8	3.5	4.7	NA	NA	68.0	7.9	1.3	ESE
10	1	2021	Larino	6.4	3.6	4.8	NA	NA	67.5	16.3	1.0	SW
11	1	2021	Larino	5.9	3.2	4.2	NA	NA	74.5	1.3	1.3	SE
12	1	2021	Larino	8.9	0.9	4.2	NA	NA	78.0	3.5	1.5	SE
13	1	2021	Larino	12.9	-1.2	3.8	NA	NA	82.5	0.3	2.2	SE
14	1	2021	Larino	15.0	-0.3	8.1	NA	NA	78.5	3.0	8.5	SE
15	1	2021	Larino	8.0	0.2	4.2	NA	NA	84.0	0.0	2.8	NW
16	1	2021	Larino-Montemitro 	4.8	-0.4	2.7	NA	NA	79.0	0.3	5.0	NW
17	1	2021	Larino-Montemitro 	6.0	-3.6	1.4	NA	NA	76.0	0.3	2.5	SE
18	1	2021	Larino-Montemitro 	8.0	-1.2	2.9	NA	NA	73.5	6.1	2.7	NW
19	1	2021	Larino-Montemitro 	12.9	-3.7	4.0	NA	NA	80.5	0.0	4.8	SSE
20	1	2021	Larino-Montemitro 	13.7	1.9	9.0	NA	NA	69.5	0.0	5.8	SE
21	1	2021	Larino-Montemitro 	14.5	8.8	12.4	NA	NA	74.5	0.0	14.6	S
22	1	2021	Larino-Montemitro 	15.0	11.9	13.7	NA	NA	79.0	0.0	28.5	S
23	1	2021	Larino-Montemitro 	13.6	8.7	11.1	NA	NA	78.0	1.3	22.9	SSE
24	1	2021	Larino-Montemitro 	12.5	4.0	9.5	NA	NA	81.0	3.3	14.2	SE
25	1	2021	Larino-Montemitro 	12.8	0.0	7.2	NA	NA	79.5	0.5	9.3	SE
26	1	2021	Larino-Montemitro 	8.5	-0.6	4.3	NA	NA	87.0	3.6	5.4	NW
27	1	2021	Larino-Montemitro 	10.0	-3.9	2.3	NA	NA	83.5	0.0	1.6	SE
28	1	2021	Larino-Montemitro 	13.6	-2.7	5.3	NA	NA	62.0	0.0	9.3	SSE
29	1	2021	Larino-Montemitro 	14.1	3.8	6.7	NA	NA	57.5	0.0	2.8	NE
30	1	2021	Larino-Montemitro 	10.8	9.7	11.6	NA	NA	56.0	0.0	3.0	W
31	1	2021	Larino-Montemitro 	10.8	8.0	8.8	NA	NA	60.5	4.1	0.6	NNE
1	2	2021	Larino	14.5	5.8	8.9	NA	NA	90.0	0.5	1.9	NW
2	2	2021	Larino	14.5	3.0	7.9	NA	NA	95.0	0.0	2.3	SE
3	2	2021	Larino	17.7	4.9	11.4	NA	NA	80.0	0.0	9.7	SE
4	2	2021	Larino	17.9	8.3	13.0	NA	NA	71.0	0.0	9.5	S
5	2	2021	Larino	15.9	5.6	10.2	NA	NA	88.0	0.0	2.8	NW
6	2	2021	Larino	19.7	7.2	12.6	NA	NA	95.0	0.0	5.1	NW
7	2	2021	Larino	21.9	10.7	15.4	NA	NA	51.0	2.8	18.5	SSE
8	2	2021	Larino	15.0	11.4	12.5	NA	NA	90.0	0.0	22.5	SSE
9	2	2021	Larino	15.0	10.8	12.9	NA	NA	69.0	1.8	19.9	SSE
10	2	2021	Larino	15.0	8.8	12.9	NA	NA	62.0	6.4	21.2	SSE
11	2	2021	Larino	12.9	3.2	9.0	NA	NA	81.0	0.5	3.4	NW
12	2	2021	Larino	736.0	2.3	5.5	NA	NA	80.0	1.0	1.4	NNE
13	2	2021	Larino	2.3	-2.3	0.3	NA	NA	96.0	11.4	2.9	WSW
14	2	2021	Larino	2.5	-2.4	1.0	NA	NA	82.0	0.5	14.6	NW
15	2	2021	Larino	5.7	-3.7	1.9	NA	NA	58.0	2.3	7.6	NW
16	2	2021	Larino	10.7	-5.8	1.9	NA	NA	82.0	0.0	3.0	SE
17	2	2021	Larino	15.0	-0.3	6.5	NA	NA	76.0	0.0	2.0	ESE
18	2	2021	Larino	16.6	2.8	8.5	NA	NA	80.0	0.0	2.1	ESE
19	2	2021	Larino	16.8	1.2	8.1	NA	NA	95.0	0.0	2.6	SE
20	2	2021	Larino	15.9	1.2	8.2	NA	NA	91.0	0.0	3.3	NNE
21	2	2021	Larino	1.8	2.0	8.8	NA	NA	91.0	0.0	3.1	SE
22	2	2021	Larino	15.2	1.8	7.8	NA	NA	96.0	0.0	3.7	SE
23	2	2021	Larino	14.4	1.7	7.4	NA	NA	96.0	0.3	3.5	SSW
24	2	2021	Larino	19.1	2.4	9.5	NA	NA	95.0	0.0	3.2	SE
25	2	2021	Larino	19.4	1.5	9.7	NA	NA	80.0	0.0	5.0	SE
26	2	2021	Larino	19.4	2.7	10.5	NA	NA	81.0	0.0	5.4	SE
27	2	2021	Larino	19.3	3.1	11.0	NA	NA	80.0	0.0	4.7	SE
28	2	2021	Larino	13.0	2.8	9.1	NA	NA	71.0	0.0	5.5	NNW
1	3	2021	Larino	13.9	-1.5	5.7	NA	NA	90.0	0.0	3.8	SE
2	3	2021	Larino	13.1	6.4	9.2	NA	NA	79.0	0.0	3.4	SE
3	3	2021	Larino	10.1	3.2	10.1	NA	NA	78.0	0.0	6.0	NNE
4	3	2021	Larino	8.2	0.2	8.2	NA	NA	69.0	0.0	3.6	SE
5	3	2021	Larino	9.1	3.6	9.1	NA	NA	82.0	0.0	3.1	NNE
6	3	2021	Larino	7.0	5.5	7.0	NA	NA	93.0	1.8	1.6	ESE
7	3	2021	Larino	6.6	4.0	6.6	NA	NA	91.0	0.0	2.2	NNE
8	3	2021	Larino	6.8	3.7	6.8	NA	NA	96.0	11.9	1.0	NNE
9	3	2021	Larino	6.4	4.7	6.4	NA	NA	99.0	47.8	1.8	ESE
10	3	2021	Larino	7.9	4.9	7.9	NA	NA	98.0	0.8	6.5	NW
11	3	2021	Larino	9.7	1.0	9.7	NA	NA	70.0	0.0	8.6	SSE
12	3	2021	Larino	13.4	11.1	13.4	NA	NA	58.0	0.0	19.4	SSE
13	3	2021	Larino	14.6	9.0	14.6	NA	NA	70.0	0.0	14.6	SSE
14	3	2021	Larino	11.8	4.4	11.8	NA	NA	62.0	0.8	18.1	SSE
15	3	2021	Larino	7.4	2.1	7.4	NA	NA	85.0	1.0	7.8	NW
16	3	2021	Larino	12.0	0.7	6.0	NA	NA	68.0	0.2	14.5	SSW
17	3	2021	Larino	11.1	3.4	7.3	NA	NA	80.0	1.4	10.4	SSW
18	3	2021	Larino	9.7	2.4	6.0	NA	NA	72.0	0.0	11.3	N
19	3	2021	Larino	9.0	-0.2	4.9	NA	NA	88.0	0.0	8.8	SSW
20	3	2021	Larino	8.1	4.2	5.5	NA	NA	69.0	0.8	10.1	SW
21	3	2021	Larino	8.3	4.5	6.2	NA	NA	65.0	0.0	20.9	NNW
22	3	2021	Larino	10.1	4.6	7.1	NA	NA	61.0	0.6	26.4	N
23	3	2021	Larino	8.7	5.4	7.0	NA	NA	49.0	0.0	32.4	N
24	3	2021	Larino	11.9	2.9	8.4	NA	NA	60.0	0.0	17.0	N
25	3	2021	Larino	14.1	1.4	7.8	NA	NA	77.0	0.0	12.6	SSW
26	3	2021	Larino	19.1	3.7	11.0	NA	NA	59.0	0.0	14.7	SSW
27	3	2021	Larino	20.8	8.4	13.4	NA	NA	70.0	0.0	15.0	SSW
28	3	2021	Larino	18.1	6.9	12.5	NA	NA	95.0	0.0	11.3	NE
29	3	2021	Larino	17.8	6.4	11.7	NA	NA	98.0	0.0	9.7	S
30	3	2021	Larino	18.4	5.3	12.1	NA	NA	95.0	0.0	15.0	SSW
31	3	2021	Larino	20.0	6.4	13.2	NA	NA	72.0	4.1	11.0	S
16	6	2021	Larino	21.9	26.6	16.9	35.0	52.0	43.5	0.0	1.7	WNW
17	6	2021	Larino	24.3	30.1	17.7	30.0	48.0	39.0	0.0	1.4	NNW
18	6	2021	Larino	24.9	29.1	21.1	40.0	66.0	53.0	0.0	1.4	WSW
19	6	2021	Larino	26.7	30.7	23.2	45.0	61.0	53.0	0.0	1.5	WNW
20	6	2021	Larino	28.2	33.3	23.4	39.0	67.0	53.0	0.0	1.1	W
21	6	2021	Larino	31.7	36.6	27.8	28.0	45.0	36.5	0.0	5.1	W
22	6	2021	Larino	30.0	34.1	26.7	33.0	59.0	46.0	0.0	3.4	WNW
23	6	2021	Larino	29.7	34.7	24.9	40.0	57.0	48.5	0.0	1.4	SSW
24	6	2021	Larino	30.7	34.6	25.1	29.0	70.0	49.5	0.0	2.8	WNW
25	6	2021	Larino	28.1	34.2	23.2	33.0	79.0	56.0	0.0	3.5	WNW
26	6	2021	Larino	25.7	30.2	21.1	40.0	71.0	55.5	0.0	2.1	WNW
27	6	2021	Larino	26.0	30.3	21.7	34.0	55.0	44.5	0.0	1.6	NNW
28	6	2021	Larino	28.0	34.4	22.4	33.0	55.0	44.0	0.0	1.8	NNE
29	6	2021	Larino	30.8	35.8	26.1	30.0	46.0	38.0	0.0	3.7	W
30	6	2021	Larino	29.1	34.3	24.3	30.0	59.0	44.5	0.0	5.9	W
16	7	2021	Larino	21.7	27.3	17.3	47.0	91.0	69.0	12.4	3.0	W
17	7	2021	Larino	19.6	23.6	17.3	70.0	95.0	82.5	6.4	3.7	W
18	7	2021	Larino	20.7	25.2	17.7	67.0	90.0	78.5	1.2	6.7	W
19	7	2021	Larino	22.0	25.2	20.0	64.0	90.0	77.0	4.4	7.3	W
20	7	2021	Larino	24.2	28.8	20.4	45.0	80.0	62.5	0.0	4.1	W
21	7	2021	Larino	26.3	30.7	21.8	37.0	57.0	47.0	0.0	1.9	WNW
22	7	2021	Larino	25.4	29.1	21.8	31.0	57.0	44.0	0.0	2.6	WNW
23	7	2021	Larino	26.0	30.9	20.7	31.0	52.0	41.5	0.0	1.2	WNW
24	7	2021	Larino	28.4	34.3	22.1	38.0	62.0	50.0	0.0	1.3	WNW
25	7	2021	Larino	29.8	33.6	25.2	21.0	60.0	40.5	0.0	3.7	SW
26	7	2021	Larino	31.4	36.1	28.6	18.0	32.0	25.0	0.0	6.0	WNW
27	7	2021	Larino	31.2	35.8	28.4	24.0	45.0	34.5	0.0	2.8	WSW
28	7	2021	Larino	33.4	38.9	28.2	20.0	28.0	24.0	0.0	5.1	W
29	7	2021	Larino	30.5	34.2	24.2	23.0	60.0	41.5	0.0	2.7	NW
30	7	2021	Larino	30.1	34.2	24.4	27.0	40.0	33.5	0.0	2.1	WSW
31	7	2021	Larino	32.8	39.0	28.1	19.0	50.0	34.5	0.0	4.5	WSW
1	8	2021	Larino	32.2	36.4	28.0	25.0	35.0	30.0	0.0	7.7	W
2	8	2021	Larino	26.0	29.4	21.8	45.0	75.0	60.0	0.0	2.9	WNW
3	8	2021	Larino	24.6	29.8	20.8	35.0	74.0	54.5	0.0	1.4	W
4	8	2021	Larino	28.9	35.8	23.7	26.0	50.0	38.0	0.0	3.2	W
5	8	2021	Larino	26.6	30.9	23.2	31.0	71.0	51.0	0.0	5.4	W
6	8	2021	Larino	25.0	29.4	21.4	30.0	65.0	47.5	0.0	3.5	W
7	8	2021	Larino	29.1	34.9	22.6	32.0	60.0	46.0	0.0	2.8	SW
8	8	2021	Larino	31.6	37.0	26.3	25.0	45.0	35.0	0.0	4.4	W
9	8	2021	Larino	29.5	34.4	26.0	32.0	68.0	50.0	0.0	2.6	WNW
10	8	2021	Larino	28.5	34.4	24.3	40.0	91.0	65.5	0.0	1.8	WNW
11	8	2021	Larino	27.0	31.7	23.5	40.0	92.0	66.0	0.6	1.9	W
12	8	2021	Larino	27.8	32.0	24.5	47.0	60.0	53.5	0.2	2.7	W
13	8	2021	Larino	29.4	34.1	25.1	31.0	60.0	45.5	0.0	1.2	N
14	8	2021	Larino	29.3	34.6	24.8	30.0	53.0	41.5	0.0	1.5	WNW
15	8	2021	Larino	32.1	37.4	27.3	22.0	35.0	28.5	0.0	1.9	WNW
